X,Y,Type,Date,Time,Descriptions
19781.4996592159,41214.0700455727,Roadwork,22/2/2018,11:54:00 PM,Roadworks on KJE (towards PIE) at Woodlands Rd Exit.
37114.9835409042,32121.8110176686,Roadwork,22/2/2018,11:51:00 PM,Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace.
30266.5155946379,33543.4300297279,Accident,22/2/2018,10:33:00 PM,Accident on CTE (towards SLE) after Moulmein Rd Exit with congestion till Kramat Rd Entrance. Avoid lanes 1 and 2.
22192.4872031548,31210.4710369427,Roadwork,22/2/2018,11:19:00 PM,Roadworks on AYE (towards Tuas) after Buona Vista exit.
39955.8758960156,32564.9609810328,Roadwork,22/2/2018,11:19:00 PM,Roadworks on ECP (towards Changi Airport) after Bayshore Rd Exit. Avoid lane 3.
27929.5455430461,37412.8980466477,Roadwork,22/2/2018,11:17:00 PM,Roadworks on Upper Thomson Road (towards Newton) after Bright Hill Drive. Avoid left lane.
27032.5586296456,27547.6310196893,Roadwork,22/2/2018,11:10:00 PM,Roadworks in Sentosa Gateway Tunnel. Sentosa Gateway Tunnel closed.
30645.7525659675,37666.999970215,Roadwork,22/2/2018,11:03:00 PM,Roadworks on CTE (towards AYE) after AMK Ave 1 Exit. Avoid lane 3.
35964.4876601625,35374.1290365522,Roadwork,22/2/2018,11:00:00 PM,Roadworks on Kaki Bukit Avenue 3 (towards Kaki Bukit Road 3) after Kaki Bukit Crescent. Avoid right lane.
30422.3428299649,31121.9099621569,Roadwork,22/2/2018,10:59:00 PM,Roadworks on North Bridge Road near Middle Road/North Bridge Road Junction.
30409.2104416463,31125.9000537106,Roadwork,22/2/2018,10:59:00 PM,Roadworks on Middle Road near Middle Road/North Bridge Road Junction.
19966.7227948831,35164.1090330334,Roadwork,22/2/2018,10:55:00 PM,Roadworks on PIE (towards Tuas) at Bukit Batok East Ave 3 Exit.
27610.6548105477,34337.6409555973,Roadwork,22/2/2018,10:53:00 PM,Roadworks on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 4.
29208.6597296429,30570.150030971,Roadwork,22/2/2018,10:49:00 PM,Roadworks on River Valley Road (towards Clarke Quay) after Clemenceau Avenue. Avoid left lane.
30260.4891832061,42161.5589625828,Roadwork,22/2/2018,10:48:00 PM,Roadworks on SLE (towards CTE) before TPE Exit. Avoid lane 1.
30283.8260126008,42158.3090359491,Roadwork,22/2/2018,10:37:00 PM,Roadworks on SLE (towards BKE) after TPE Exit. Avoid lane 1.
29144.4409024537,42039.301045968,Roadwork,22/2/2018,10:35:00 PM,Roadworks on SLE (towards BKE) after TPE Entrance. Avoid lane 5.
25829.5892972977,35104.1210341864,Roadwork,22/2/2018,10:34:00 PM,Roadworks on PIE (towards Changi Airport) before Lornie Rd. Avoid lane 2.
39975.4073622779,35388.7699858779,Roadwork,22/2/2018,10:27:00 PM,Roadworks on PIE (towards Tuas) after Tampines. Avoid lane 3.
26906.2212042427,33764.2890432432,Roadwork,22/2/2018,10:26:00 PM,Roadworks on Dunearn Road (towards City) at Wayang Satu Flyover. Avoid right lane.
23420.4759333844,36719.5900505295,Roadwork,22/2/2018,10:21:00 PM,Roadworks on BKE (towards Woodlands) after PIE Entrance.
38228.5755007323,31999.5800133524,Vehicle breakdown,22/2/2018,10:20:00 PM,Vehicle breakdown on ECP (towards Changi Airport) after Marine Vista Exit.
36030.9317331048,41907.4879485167,Roadwork,22/2/2018,10:17:00 PM,Roadworks on TPE (towards SLE) at Punggol Rd Exit.
19207.0109936987,41474.9219753531,Roadwork,22/2/2018,10:16:00 PM,Roadworks on Woodlands Road (towards Woodlands Checkpoint) after KJE. Avoid left lane.
34644.4387691566,33978.7109804362,Roadwork,22/2/2018,10:12:00 PM,Roadworks on PIE (towards Changi Airport) at Paya Lebar Rd Entrance.
18968.3411674448,35760.6020003994,Vehicle breakdown,22/2/2018,10:11:00 PM,Vehicle breakdown on PIE (towards Tuas) before Toh Guan Rd Exit.
30739.3912387431,39788.5119520361,Roadwork,22/2/2018,10:10:00 PM,Roadworks on CTE (towards SLE) at Ang Mo Kio Ave 5 Exit.
27620.0175413901,28541.1699585346,Roadwork,22/2/2018,10:06:00 PM,Roadworks on AYE (towards MCE) after Lower Delta Rd Exit. Avoid lane 1.
42790.6625819789,34882.6290354803,Roadwork,22/2/2018,10:04:00 PM,Roadworks on Changi South Avenue 2 near Changi South Avenue 2/Changi South Avenue 3 Junction.
28874.7062922854,34597.9799858899,Roadwork,22/2/2018,9:55:00 PM,Roadworks on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 2.
29240.6064574804,29169.2789897593,Roadwork,22/2/2018,9:52:00 PM,Roadworks on Maxwell Road (towards Kadayanallur Street) after South Bridge Road. Avoid left lane.
27243.9531350627,41649.390977059,Roadwork,22/2/2018,9:46:00 PM,Roadworks on SLE (towards CTE) before Lentor Ave Exit. Avoid lane 3.
20294.026135177,34791.101985438,Roadwork,22/2/2018,9:44:00 PM,Roadworks on PIE (towards Tuas) at Clementi Ave 6 Entrance.
37559.7147095555,40302.1909940317,Roadwork,22/2/2018,9:39:00 PM,Roadworks on TPE (towards PIE) after KPE Exit. Avoid lane 1.
27944.0140037913,41769.1990447032,Roadwork,22/2/2018,9:29:00 PM,Roadworks on SLE (towards BKE) after Lentor Ave Exit. Avoid lane 2.
30771.3286030505,41059.0119498508,Vehicle breakdown,22/2/2018,9:12:00 PM,Vehicle breakdown on CTE (towards SLE) after Yio Chu Kang Rd Exit.
25097.5656133878,35625.628968257,Accident,22/2/2018,8:54:00 PM,Accident on PIE (towards Changi Airport) after Eng Neo Ave. Avoid lane 1.
27158.5270061034,33787.0900232489,Roadwork,22/2/2018,8:48:00 PM,Roadworks on Whitley Road (towards Merryn Road) after Dunearn Road. Avoid left lane.
21662.9566966792,35757.398007898,Roadwork,22/2/2018,8:47:00 PM,Roadworks on Upper Bukit Timah Road (towards Jalan Jurong Kechil) after Bukit Timah Avenue.
31010.0240394775,29287.3500390548,Roadwork,22/2/2018,8:37:00 PM,Roadworks on Sheares Avenue (towards Sheares Link) after Marina Boulevard. Avoid right lane.
29245.9008860509,42051.2300013296,Vehicle breakdown,22/2/2018,8:22:00 PM,Vehicle breakdown on SLE (towards BKE) after TPE Entrance.
26522.409206231,34736.8399665338,Heavy Traffic,22/2/2018,6:26:00 PM,Heavy Traffic on PIE (towards Tuas) after Stevens Rd Exit.
30184.1834595234,33501.1479704391,Vehicle breakdown,22/2/2018,6:25:00 PM,Vehicle breakdown on CTE (towards SLE) after Moulmein Rd Exit.
31168.4622669884,34907.4300503608,Vehicle breakdown,22/2/2018,6:23:00 PM,Vehicle breakdown on CTE (towards SLE) at PIE Exit.
25983.7173776772,29383.819957278,Heavy Traffic,22/2/2018,6:21:00 PM,Heavy Traffic on AYE (towards MCE) between Buona Vista Exit and Lower Delta Rd Exit.
38193.8536851554,40001.6600317836,Vehicle breakdown,22/2/2018,6:19:00 PM,Vehicle breakdown on TPE (towards SLE) before Tampines Rd Exit.
20973.8548283803,31883.9199788803,Vehicle breakdown,22/2/2018,6:18:00 PM,Vehicle breakdown on AYE (towards Tuas) before Clementi Ave 2 Exit.
20137.905281928,32708.0389814373,Heavy Traffic,22/2/2018,6:13:00 PM,Heavy Traffic on AYE (towards Tuas) between Clementi Rd Exit and Clementi Ave 6 Exit.
32953.7666851831,31383.953048974,Heavy Traffic,22/2/2018,6:10:00 PM,Heavy Traffic on KPE (towards TPE) after ECP Entrance.
14942.9340604012,33859.0900070224,Accident,22/2/2018,6:06:00 PM,Accident on AYE (towards Tuas) at Jurong Port Rd Entrance.
27098.4769500251,34417.4490205116,Heavy Traffic,22/2/2018,5:58:00 PM,Heavy Traffic on PIE (towards Changi Airport) between Eng Neo Ave and Lornie Rd.
36005.2796926369,41921.6990390647,Heavy Traffic,22/2/2018,5:37:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.
20780.0479209823,46489.9609574656,Heavy Traffic,22/2/2018,5:31:00 PM,Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.
39533.8219500587,32442.1310438266,Accident,22/2/2018,5:22:00 PM,Accident on ECP (towards City) after East Coast Park Carpark F3 Exit. Avoid lane 1.
24329.9488913231,44566.3520308993,Vehicle breakdown,22/2/2018,5:22:00 PM,Vehicle breakdown on SLE (towards CTE) before Mandai Ave Exit. Avoid lane 4.
31124.2248837079,35860.6209472941,Vehicle breakdown,22/2/2018,5:21:00 PM,Vehicle breakdown on CTE (towards SLE) after Braddell Rd Exit.
42341.2836298568,33196.3399999001,Vehicle breakdown,22/2/2018,5:19:00 PM,Vehicle breakdown on ECP (towards City) after East Coast Park Carpark H Exit.
25905.911685669,35107.0119728793,Heavy Traffic,22/2/2018,5:18:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.
28495.9735690427,29782.6500322591,Accident,22/2/2018,4:58:00 PM,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit with congestion till AYE Entrance. Avoid lane 1.
26900.2815667187,34578.468984503,Heavy Traffic,22/2/2018,4:48:00 PM,Heavy Traffic on PIE (towards Tuas) after Stevens Rd Exit
30730.3983433012,30952.358955436,Vehicle breakdown,22/2/2018,4:34:00 PM,Vehicle breakdown on Nicoll Highway (towards Guillemard) after Middle Road. Avoid left lane.
21175.2040075939,43367.2380540834,Vehicle breakdown,22/2/2018,4:19:00 PM,Vehicle breakdown on BKE (towards PIE) after Mandai Rd Exit.
25240.2705508427,35489.8199585126,Accident,22/2/2018,3:48:00 PM,Accident on PIE (towards Tuas) before Eng Neo Ave with congestion till Thomson Rd Exit. Avoid lane 1.
44448.9729904886,35791.769971884,Roadwork,22/2/2018,3:45:00 PM,Roadworks on ECP (towards Changi Airport) after PIE Exit. Avoid lane 1.
36294.4113377241,31457.5800276748,Roadwork,22/2/2018,3:44:00 PM,Roadworks on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 1.
19995.0552364066,33183.0310086493,Roadwork,22/2/2018,3:37:00 PM,Roadworks on Clementi Avenue 6 (towards AYE) after Commonwealth Avenue West. Avoid left lane.
25404.520053747,34048.6989822627,Roadwork,22/2/2018,3:10:00 PM,Roadworks on Bukit Timah Road (towards Woodlands) after Farrer Road. Avoid left lane.
28460.4160243929,29696.1500438158,Vehicle breakdown,22/2/2018,3:09:00 PM,Vehicle breakdown in CTE Tunnel (towards AYE) at Outram Rd Exit.
19129.8584553448,41226.3200414336,Roadwork,22/2/2018,2:54:00 PM,Roadworks on KJE (towards BKE) at Woodlands Rd Exit.
36947.7146638873,32082.3300223581,Roadwork,22/2/2018,2:52:00 PM,Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace. Avoid right lane.
30555.5636355919,42364.3709468609,Roadwork,22/2/2018,2:52:00 PM,Roadworks on TPE (towards SLE) at Seletar West Link Exit.
44482.3326339854,35505.7380209002,Roadwork,22/2/2018,2:50:00 PM,Roadworks on PIE (towards Changi Airport) at ECP(City) Exit.
31306.0854066723,34709.2110347417,Vehicle breakdown,22/2/2018,2:48:00 PM,Vehicle breakdown on PIE (towards Tuas) after CTE(SLE) Exit.
25000.8012028955,29579.1599593479,Accident,22/2/2018,2:47:00 PM,Accident on AYE (towards Tuas) after Lower Delta Rd Exit.
17478.8034548205,40688.5199620096,Roadwork,22/2/2018,2:42:00 PM,Roadworks on KJE (towards BKE) after Choa Chu Kang Way Exit.
29291.065546656,38838.8200220072,Roadwork,22/2/2018,2:40:00 PM,Roadworks on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Street 31) after Ang Mo Kio Avenue 3. Avoid left lane.
31355.8211404562,34679.4880015355,Heavy Traffic,22/2/2018,2:37:00 PM,Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit
23573.8536807621,36681.8520411902,Roadwork,22/2/2018,2:32:00 PM,Roadworks on BKE (towards PIE) before PIE Exit. Avoid lane 1.
31391.0110213494,34673.7300248825,Heavy Traffic,22/2/2018,2:32:00 PM,Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and CTE(City) Exit.
37737.8238610174,40176.6799888092,Roadwork,22/2/2018,2:30:00 PM,Roadworks on TPE (towards SLE) after Tampines Rd Exit.
19721.8916919357,33140.8710422933,Heavy Traffic,22/2/2018,2:14:00 PM,Heavy Traffic on AYE (towards MCE) before Clementi Ave 6 Exit
21677.3453898241,36192.8709764624,Roadwork,22/2/2018,2:04:00 PM,Roadworks on Jalan Anak Bukit (towards City) after Old Jurong Road. Avoid left lane.
31217.7532036046,34842.5310144102,Roadwork,22/2/2018,1:56:00 PM,Roadworks on CTE (towards SLE) after PIE(Changi) Exit.
10741.3684649678,33882.5390323764,Vehicle breakdown,22/2/2018,1:54:00 PM,Vehicle breakdown on AYE (towards MCE) after Benoi Rd Exit.
29771.7654464868,33319.5900509019,Vehicle breakdown,22/2/2018,1:53:00 PM,Vehicle breakdown on CTE (towards SLE) before Moulmein Rd Exit.
25590.5034379519,28338.0609530236,Roadwork,22/2/2018,1:46:00 PM,Roadworks on Telok Blangah Drive (towards Henderson Road).
39990.2724204755,39220.0200001759,Roadwork,22/2/2018,1:32:00 PM,Roadworks on TPE (towards SLE) before Tampines Rd Exit.
21066.1111463194,33517.4799505711,Roadwork,22/2/2018,1:29:00 PM,Roadworks on Clementi Road (towards Ulu Pandan Road). Avoid left lane.
21088.5562835183,33433.1600344924,Roadwork,22/2/2018,1:27:00 PM,Roadworks on Clementi Road (towards Ulu Pandan Road) after Clementi Avenue 2.
22189.4600714815,31209.8589568515,Roadwork,22/2/2018,1:23:00 PM,Roadworks on AYE (towards Tuas) after Buona Vista exit.
7310.611768944,35606.2699549704,Roadwork,22/2/2018,1:14:00 PM,Roadworks on AYE (towards MCE) after Tuas West Rd. Avoid lane 3.
43004.3015387146,33530.7810149734,Roadwork,22/2/2018,1:13:00 PM,Roadworks on ECP (towards City) after East Coast Park Carpark H Exit. Avoid lane 1.
19962.2894724949,33118.4220172656,Roadwork,22/2/2018,1:11:00 PM,Roadworks on AYE (towards MCE) at Clementi Ave 6 Entrance.
21786.08880957,39682.5779583806,Roadwork,22/2/2018,1:09:00 PM,Roadworks on BKE (towards PIE) at Bukit Panjang Exit.
10149.390947859,34720.3910512618,Obstacle,22/2/2018,12:44:00 PM,Obstacle on PIE (towards Tuas) after Upper Jurong Rd. Avoid lane 1.
13496.4766735345,36472.5199598766,Roadwork,22/2/2018,12:41:00 PM,Roadworks on Jurong West Avenue 4 (towards Jurong West Street 76) after Jurong West Street 75. Avoid left lane.
35860.3419549288,34242.2499981742,Roadwork,22/2/2018,12:30:00 PM,Roadworks on PIE (towards Changi Airport) at Jalan Eunos Exit.
21786.08880957,39682.5779583806,Roadwork,22/2/2018,12:29:00 PM,Roadworks on BKE (towards PIE) at Bukit Panjang Exit.
34750.0421029761,35329.8399642186,Roadwork,22/2/2018,12:29:00 PM,Roadworks on Airport Road near Airport Road/Tai Seng Avenue Junction.
30025.3897358856,38647.9219635463,Roadwork,22/2/2018,12:26:00 PM,Roadworks on Ang Mo Kio Avenue 8 (towards Ang Mo Kio Street 31) after Ang Mo Kio Street 41. Avoid left lane.
27434.8038157976,38749.051032122,Roadwork,22/2/2018,12:21:00 PM,Roadworks on Upper Thomson Road (towards SLE) after Sin Ming Avenue. Avoid left lane.
21923.6440720652,35904.1089777868,Roadwork,22/2/2018,12:13:00 PM,Roadworks on Jalan Anak Bukit (towards City) after Jalan Jurong Kechil. Avoid left lane.
25545.6068180593,28181.8499475767,Roadwork,22/2/2018,12:13:00 PM,Roadworks on Henderson Road near Henderson Road/Telok Blangah Road Junction.
