X,Y,ROAD_NAME,DIRECTION,DESCP,INC_CRC,X_ADDR,Y_ADDR,CameraType,CAMID,LOCATION,CAM_ID,join_name,join_ref,join_type
22252.9733,31178.0288,Ayer Rajah Expressway,City,Static Speed Camera,3C7FDBB0AC0B8BB7,22252.97320000000,31178.02870000000,fixed-speed-cameras,,,,Ayer Rajah Expressway,AYE,motorway
22257.9813,31176.0383,Ayer Rajah Expressway,Jurong,Static Speed Camera,BCFE09CB9AFD40EB,22257.98130000000,31176.03830000000,fixed-speed-cameras,,,,Ayer Rajah Expressway,AYE,motorway
21563.966699999,40475.958699999,Bukit Timah Expressway,Pan Island Expressway,Static Speed Camera,AD87DC4C8A251AF9,21563.96660000000,40475.95860000000,fixed-speed-cameras,,,,Bukit Timah Expressway,BKE,motorway
21567.9728,40465.0117,Bukit Timah Expressway,Woodlands,Static Speed Camera,480333868BC73E77,21567.97270000000,40465.01170000000,fixed-speed-cameras,,,,Bukit Timah Expressway,BKE,motorway
25291.3744,35461.9854,Pan Island Expressway,Tuas,Static Speed Camera,94F5603168DE9C14,25291.37440000000,35461.98540000000,fixed-speed-cameras,,,,Pan-Island Expressway,PIE,motorway
25194.9696,43348.964,Seletar Expressway,Bukit Timah Expressway,Static Speed Camera,D8191F90722494AA,25194.96960000000,43348.96390000000,fixed-speed-cameras,,,,Seletar Expressway,SLE,motorway
25198.9758,43337.0219,Seletar Expressway,Central Expressway,Static Speed Camera,0617F009CF7FF6F7,25198.97580000000,43337.02190000000,fixed-speed-cameras,,,,Seletar Expressway,SLE,motorway
22446.5276,37632.7249,Bukit Timah Expressway,Woodlands Checkpoint,below Eco-Link Bridge,4BD5FCCD5947C80D,22446.52750000000,37632.72480000000,police-speed-laser-cameras,,,,Bukit Timah Expressway,BKE,motorway
22464.334,37648.0945,Bukit Timah Expressway,Pan Island Expressway,below Eco-Link Bridge,F62FECE5136FC238,22464.33390000000,37648.09440000000,police-speed-laser-cameras,,,,Bukit Timah Expressway,BKE,motorway
37501.618599999,31808.739499999,East Coast Parkway,Airport Boulevard,overhead bridge,2F52CF402C7CA1D8,37501.61850000000,31808.73940000000,police-speed-laser-cameras,,,,East Coast Parkway,ECP,motorway
37507.183799999,31788.0621,East Coast Parkway,Marina Coastal Expressway,overhead bridge,DEC5C28A3638D8B2,37507.18370000000,31788.06210000000,police-speed-laser-cameras,,,,East Coast Parkway,ECP,motorway
30819.535,38211.8738,Central Expressway,Seletar Expressway,overhead bridge,254FD105776E22E8,30819.53500000000,38211.87380000000,police-speed-laser-cameras,,,,Central Expressway,CTE,motorway
30841.3476,38203.6915,Central Expressway,Ayer Rajah Expressway,overhead bridge,19E2AF1D7B250ECF,30841.34760000000,38203.69150000000,police-speed-laser-cameras,,,,Central Expressway,CTE,motorway
17970.5205,41109.8869,Kranji Expressway,Bukit Timah Expressway,overhead bridge,9871A2F36807D09C,17970.52040000000,41109.88690000000,police-speed-laser-cameras,,,,Kranji Expressway,KJE,motorway
17979.9794,41098.2762,Kranji Expressway,Pan Island Expressway,overhead bridge,A721BB71B9B39F6F,17979.97930000000,41098.27620000000,police-speed-laser-cameras,,,,Kranji Expressway,KJE,motorway
9896.91419999988,33814.0042,Ayer Rajah Expressway,Tuas Checkpoint,overhead bridge,5A8E5B3E8CD2B49E,9896.91420000000,33814.00420000000,police-speed-laser-cameras,,,,Ayer Rajah Expressway,AYE,motorway
9893.57669999963,33832.3599,Ayer Rajah Expressway,Marina Coastal Expressway,overhead bridge,7B072799B804A9D0,9893.57670000000,33832.35980000000,police-speed-laser-cameras,,,,Ayer Rajah Expressway,AYE,motorway
36480.4433,41504.2534,Tampines Expressway,Pan Island Expressway,overhead bridge,F240FE1A66040183,36480.44330000000,41504.25330000000,police-speed-laser-cameras,,,,Tampines Expressway,TPE,motorway
36462.8603,41491.7579,Tampines Expressway,Seletar Expressway,overhead bridge,04D9A9B6574D5D2D,36462.86020000000,41491.75780000000,police-speed-laser-cameras,,,,Tampines Expressway,TPE,motorway
32345.7821,42565.7827,Tampines Expressway,Pan Island Expressway,overhead bridge,57F2B5697CAC2B32,32345.78210000000,42565.78270000000,police-speed-laser-cameras,,,,Tampines Expressway,TPE,motorway
32345.671099999,42548.8647,Tampines Expressway,Seletar Expressway,overhead bridge,158909DFE717A333,32345.67100000000,42548.86470000000,police-speed-laser-cameras,,,,Tampines Expressway,TPE,motorway
35693.854299999,34165.367699999,Pan Island Expressway,Tuas Road,overhead bridge,406DE7B76310B153,35693.85420000000,34165.36760000000,police-speed-laser-cameras,,,,Pan-Island Expressway,PIE,motorway
35690.07,34183.059599999,Pan Island Expressway,Airport Boulevard,overhead bridge,55CA1C21F74E1656,35690.07000000000,34183.05950000000,police-speed-laser-cameras,,,,Pan-Island Expressway,PIE,motorway
29241.0385,34645.047599999,Pan Island Expressway,Tuas Road,overhead bridge,684783CA3B1F3201,29241.03840000000,34645.04750000000,police-speed-laser-cameras,,,,Pan-Island Expressway,PIE,motorway
29241.483599999,34665.1722,Pan Island Expressway,Airport Boulevard,overhead bridge,E17E6F41CB294238,29241.48350000000,34665.17210000000,police-speed-laser-cameras,,,,Pan-Island Expressway,PIE,motorway
11664.454800001,36108.6621,Pan Island Expressway,Tuas Road,overhead bridge,4611082C430F4929,11664.45480000000,36108.66210000000,police-speed-laser-cameras,,,,Pan-Island Expressway,PIE,motorway
