X,Y,ROAD_NAME,DIRECTION,DESCP,INC_CRC,CameraType,CAMID,join_name,Expressway
22252.9733,31178.0288,Ayer Rajah Expressway,City,Static Speed Camera,3C7FDBB0AC0B8BB7,fixed-speed-cameras,,Ayer Rajah Expressway,AYE
22257.9813,31176.0383,Ayer Rajah Expressway,Jurong,Static Speed Camera,BCFE09CB9AFD40EB,fixed-speed-cameras,,Ayer Rajah Expressway,AYE
21563.9667,40475.9587,Bukit Timah Expressway,Pan Island Expressway,Static Speed Camera,AD87DC4C8A251AF9,fixed-speed-cameras,,Bukit Timah Expressway,BKE
21567.9728,40465.0117,Bukit Timah Expressway,Woodlands,Static Speed Camera,480333868BC73E77,fixed-speed-cameras,,Bukit Timah Expressway,BKE
25291.3744,35461.9854,Pan Island Expressway,Tuas,Static Speed Camera,94F5603168DE9C14,fixed-speed-cameras,,Pan-Island Expressway,PIE
25194.9696,43348.964,Seletar Expressway,Bukit Timah Expressway,Static Speed Camera,D8191F90722494AA,fixed-speed-cameras,,Seletar Expressway,SLE
25198.9758,43337.0219,Seletar Expressway,Central Expressway,Static Speed Camera,0617F009CF7FF6F7,fixed-speed-cameras,,Seletar Expressway,SLE
22446.5276,37632.7249,Bukit Timah Expressway,Woodlands Checkpoint,below Eco-Link Bridge,4BD5FCCD5947C80D,police-speed-laser-cameras,,Bukit Timah Expressway,BKE
22464.334,37648.0945,Bukit Timah Expressway,Pan Island Expressway,below Eco-Link Bridge,F62FECE5136FC238,police-speed-laser-cameras,,Bukit Timah Expressway,BKE
37501.6186,31808.7395,East Coast Parkway,Airport Boulevard,overhead bridge,2F52CF402C7CA1D8,police-speed-laser-cameras,,East Coast Parkway,ECP
37507.1838,31788.0621,East Coast Parkway,Marina Coastal Expressway,overhead bridge,DEC5C28A3638D8B2,police-speed-laser-cameras,,East Coast Parkway,ECP
30819.535,38211.8738,Central Expressway,Seletar Expressway,overhead bridge,254FD105776E22E8,police-speed-laser-cameras,,Central Expressway,CTE
30841.3476,38203.6915,Central Expressway,Ayer Rajah Expressway,overhead bridge,19E2AF1D7B250ECF,police-speed-laser-cameras,,Central Expressway,CTE
17970.5205,41109.8869,Kranji Expressway,Bukit Timah Expressway,overhead bridge,9871A2F36807D09C,police-speed-laser-cameras,,Kranji Expressway,KJE
17979.9794,41098.2762,Kranji Expressway,Pan Island Expressway,overhead bridge,A721BB71B9B39F6F,police-speed-laser-cameras,,Kranji Expressway,KJE
9896.9142,33814.0042,Ayer Rajah Expressway,Tuas Checkpoint,overhead bridge,5A8E5B3E8CD2B49E,police-speed-laser-cameras,,Ayer Rajah Expressway,AYE
9893.5767,33832.3599,Ayer Rajah Expressway,Marina Coastal Expressway,overhead bridge,7B072799B804A9D0,police-speed-laser-cameras,,Ayer Rajah Expressway,AYE
36480.4433,41504.2534,Tampines Expressway,Pan Island Expressway,overhead bridge,F240FE1A66040183,police-speed-laser-cameras,,Tampines Expressway,TPE
