X,Y,Type,Date,Dscrptn,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType,join_osm_id,join_name,join_ref,join_type,join_oneway,join_bridge,join_maxspeed,distance
30266.5155946379,33543.4300297279,Accident,22/2/2018,Accident on CTE (towards SLE) after Moulmein Rd Exit with congestion till Kramat Rd Entrance. Avoid lanes 1 and 2.,KL,KALLANG,CR,CENTRAL REGION,expressway,45249367,Moulmein Flyover,CTE,motorway,1,1,90,6.77805760469477
25097.5656133878,35625.628968257,Accident,22/2/2018,Accident on PIE (towards Changi Airport) after Eng Neo Ave. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway,479185549,Pan-Island Expressway,PIE,motorway,1,0,80,10.4901248485003
14942.9340604012,33859.0900070224,Accident,22/2/2018,Accident on AYE (towards Tuas) at Jurong Port Rd Entrance.,BL,BOON LAY,WR,WEST REGION,expressway,265150872,,AYE,motorway_link,1,0,,9.3707120835169
39533.8219500587,32442.1310438266,Accident,22/2/2018,Accident on ECP (towards City) after East Coast Park Carpark F3 Exit. Avoid lane 1.,BD,BEDOK,ER,EAST REGION,expressway,175992329,East Coast Parkway,ECP,motorway,1,0,90,10.4744259120187
28495.9735690427,29782.6500322591,Accident,22/2/2018,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit with congestion till AYE Entrance. Avoid lane 1.,OT,OUTRAM,CR,CENTRAL REGION,expressway,45071006,Central Expressway,CTE,motorway,1,0,,2.97322446073581
25240.2705508427,35489.8199585126,Accident,22/2/2018,Accident on PIE (towards Tuas) before Eng Neo Ave with congestion till Thomson Rd Exit. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway,479544356,Pan-Island Expressway,PIE,motorway,1,0,80,8.00159083103829
25000.8012028955,29579.1599593479,Accident,22/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway,480749316,Ayer Rajah Expressway,AYE,motorway,1,0,90,7.8935784654921
37048.0234273953,31666.1989702265,Accident,22/2/2018,Accident on ECP (towards City) before Still Rd Sth Exit with congestion till East Coast Park Carpark F3 Exit. Avoid lane 1.,MP,MARINE PARADE,CR,CENTRAL REGION,expressway,226212626,East Coast Parkway,ECP,motorway,1,0,90,6.30388586482097
39175.305516835,32271.6700276179,Accident,21/2/2018,Accident on ECP (towards City) at Bedok South Ave 1 Entrance.,BD,BEDOK,ER,EAST REGION,expressway,22699689,,Exit 7B,motorway_link,1,0,,40.5174058140324
33019.0441460658,33566.5509491088,Accident,21/2/2018,Accident on PIE (towards Tuas) after KPE Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway,74628616,Pan-Island Expressway,PIE,motorway,1,0,90,7.08054537713879
19012.2355270653,33776.9299864482,Accident,21/2/2018,Accident on AYE (towards MCE) after Jurong Town Hall Entrance.,CL,CLEMENTI,WR,WEST REGION,expressway,172333904,Ayer Rajah Expressway,AYE,motorway,1,0,90,0.489210914154534
34351.4460601023,33952.7300360409,Accident,21/2/2018,Accident on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway,160595163,,,motorway_link,1,0,,2.60960943632056
34351.4460601023,33952.7300360409,Accident,21/2/2018,Accident on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway,160595163,,,motorway_link,1,0,,2.60960943632056
17712.4293617687,36353.2300181513,Accident,21/2/2018,Accident on PIE (towards Tuas) after Toh Guan Rd Exit.,JE,JURONG EAST,WR,WEST REGION,expressway,75406314,Pan-Island Expressway,PIE,motorway,1,0,90,9.40370195439688
26900.8602792593,34579.9300080056,Accident,21/2/2018,Accident on PIE (towards Tuas) after Stevens Rd Exit. Avoid lanes 3 and 4.,NV,NOVENA,CR,CENTRAL REGION,expressway,75525381,Pan-Island Expressway,PIE,motorway,1,0,,6.36562795039703
17699.6867632374,36353.5310440454,Accident,21/2/2018,Accident on PIE (towards Tuas) after Toh Guan Rd Exit. Avoid lane 3.,JE,JURONG EAST,WR,WEST REGION,expressway,75406313,Pan-Island Expressway,PIE,motorway,1,0,90,9.22521054773417
33816.5905389501,34795.3589476654,Accident,21/2/2018,Accident on KPE (towards ECP) after Airport Rd Entrance with congestion till Airport Rd Entrance. Avoid lane 2.,GL,GEYLANG,CR,CENTRAL REGION,expressway,49331891,Kallang-Paya Lebar Expressway,KPE,motorway,1,0,70,14.0248859951431
36655.6051989629,41281.430014572,Accident,21/2/2018,Accident on TPE (towards PIE) after Punggol Rd Exit.,SE,SENGKANG,NER,NORTH-EAST REGION,expressway,33176817,Tampines Expressway,TPE,motorway,1,0,90,7.27058317975804
36324.8145687304,39187.550951372,Accident,20/2/2018,Accident on KPE (towards ECP) after Buangkok Dr Entrance. Avoid lane 4.,PL,PAYA LEBAR,ER,EAST REGION,expressway,265150818,Kallang-Paya Lebar Expressway,KPE,motorway,1,0,80,5.99735239780468
42587.3110732228,37215.1289573273,Accident,20/2/2018,Accident on TPE (towards PIE) at Upper Changi Rd North Exit.,PR,PASIR RIS,ER,EAST REGION,expressway,173767986,,,motorway_link,1,0,,0.595002757746999
32574.3547471366,30603.6250487518,Accident,20/2/2018,Accident on MCE (towards KPE) at ECP (Changi) Exit.,ME,MARINA EAST,CR,CENTRAL REGION,expressway,244918970,East Coast Parkway,,motorway_link,1,0,,4.29575857515387
20823.758535767,34958.6290129691,Accident,20/2/2018,Accident on PIE (towards Tuas) before Clementi Ave 6 Exit.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway,479113886,Pan-Island Expressway,PIE,motorway,1,0,90,10.2981857925615
32723.5545165938,32436.2210201469,Accident,20/2/2018,Accident on KPE (towards TPE) before Nicoll Highway Entrance. Avoid lane 3.,KL,KALLANG,CR,CENTRAL REGION,expressway,383372420,Kallang-Paya Lebar Expressway,KPE,motorway,1,0,80,10.7042460363098
34402.9855700296,33905.9100438129,Accident,20/2/2018,Accident on PIE (towards Changi Airport) after Paya Lebar Rd with congestion till Kallang. Avoid lanes 1 and 3.,GL,GEYLANG,CR,CENTRAL REGION,expressway,33793659,Paya Lebar Flyover,PIE,motorway,1,1,90,6.2065476016625
28790.0037868856,34557.7500475568,Accident,20/2/2018,Accident on PIE (towards Tuas) after Thomson Rd Exit.,NV,NOVENA,CR,CENTRAL REGION,expressway,44839216,Thomson Flyover,PIE,motorway,1,1,80,7.5714786622976
