X,Y,Type,Date,Dscrptn,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,join_osm_id,join_name,Accident_Location
14942.93406,33859.09001,Accident,22/2/2018,Accident on AYE (towards Tuas) at Jurong Port Rd Entrance.,BL,BOON LAY,WR,WEST REGION,265150872,,AYE
25000.8012,29579.15996,Accident,22/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit.,BM,BUKIT MERAH,CR,CENTRAL REGION,480749316,Ayer Rajah Expressway,AYE
19012.23553,33776.92999,Accident,21/2/2018,Accident on AYE (towards MCE) after Jurong Town Hall Entrance.,CL,CLEMENTI,WR,WEST REGION,172333904,Ayer Rajah Expressway,AYE
25592.10503,29538.23999,Accident,20/2/2018,Accident on AYE (towards MCE) after Alexandra.,BM,BUKIT MERAH,CR,CENTRAL REGION,480749318,Ayer Rajah Expressway,AYE
12826.89484,33884.32003,Accident,19/2/2018,Accident on AYE (towards MCE) after Pioneer Rd Exit. Avoid lanes 2 and 3.,BL,BOON LAY,WR,WEST REGION,44638512,Pioneer Flyover,AYE
8820.551364,34217.62098,Accident,19/2/2018,Accident on AYE (towards MCE) at PIE(KJE) Exit.,TS,TUAS,WR,WEST REGION,479132843,Jalan Ahmad Ibrahim,AYE
12766.03019,33885.12096,Accident,18/2/2018,Accident on AYE (towards MCE) after Pioneer Rd Exit. Avoid lane 3.,PN,PIONEER,WR,WEST REGION,44638512,Pioneer Flyover,AYE
24132.80595,29763.60896,Accident,17/2/2018,Accident on AYE (towards Tuas) after Alexandra Rd Entrance. Avoid lanes 1 and 2.,QT,QUEENSTOWN,CR,CENTRAL REGION,75007298,Ayer Rajah Expressway,AYE
20395.05723,32444.27003,Accident,16/2/2018,Accident on AYE (towards MCE) before Clementi Ave 2 Exit. Avoid lanes 3 and 4.,CL,CLEMENTI,WR,WEST REGION,479303944,Ayer Rajah Expressway,AYE
18471.54903,33943.69098,Accident,15/2/2018,Accident on AYE (towards MCE) at Jurong Town Hall Entrance.,JE,JURONG EAST,WR,WEST REGION,173767997,,AYE
