X,Y,Type,Latitude,Longitude,Date,Time,Descriptio,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,RoadType,join_osm_i,join_name,join_ref,join_type,join_onewa,join_bridg,join_maxsp,distance
26522.4092062295,34736.8399665338,Heavy Traffic,1.33042,103.82004,22/2/2018,6:26:00 PM,Heavy Traffic on PIE (towards Tuas) after Stevens Rd Exit.,NOVENA,NV,CENTRAL REGION,CR,expressway,75525381,Pan-Island Expressway,PIE,motorway,1,0,,0.872893932634597
25983.7173776743,29383.819957278,Heavy Traffic,1.28201,103.81520,22/2/2018,6:21:00 PM,Heavy Traffic on AYE (towards MCE) between Buona Vista Exit and Lower Delta Rd Exit.,BUKIT MERAH,BM,CENTRAL REGION,CR,expressway,480749011,Ayer Rajah Expressway,AYE,motorway,1,0,90,5.245906773890156
20137.9052819251,32708.0389814373,Heavy Traffic,1.31207,103.76267,22/2/2018,6:13:00 PM,Heavy Traffic on AYE (towards Tuas) between Clementi Rd Exit and Clementi Ave 6 Exit.,CLEMENTI,CL,WEST REGION,WR,expressway,75044390,Ayer Rajah Expressway,AYE,motorway,1,0,90,6.269789170204885
32953.7666851817,31383.953048974,Heavy Traffic,1.30010,103.87783,22/2/2018,6:10:00 PM,Heavy Traffic on KPE (towards TPE) after ECP Entrance.,KALLANG,KL,CENTRAL REGION,CR,expressway,383372420,Kallang-Paya Lebar Expressway,KPE,motorway,1,0,80,9.748505471044748
27098.4769500237,34417.4490205116,Heavy Traffic,1.32753,103.82522,22/2/2018,5:58:00 PM,Heavy Traffic on PIE (towards Changi Airport) between Eng Neo Ave and Lornie Rd.,NOVENA,NV,CENTRAL REGION,CR,expressway,159090943,Pan-Island Expressway,PIE,motorway,1,0,,7.916508302059914
36005.279692634,41921.6990390647,Heavy Traffic,1.39540,103.90525,22/2/2018,5:37:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,32776625,Punggol Interchange,,motorway_link,1,0,50,2.681808572443321
20780.0479209795,46489.9609574655,Heavy Traffic,1.43671,103.76844,22/2/2018,5:31:00 PM,Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,SUNGEI KADUT,SK,NORTH REGION,NR,expressway,44361304,Bukit Timah Expressway,BKE,motorway_link,1,0,,2.749536590584635
25905.9116856676,35107.0119728793,Heavy Traffic,1.33377,103.81450,22/2/2018,5:18:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,0.215321061273377
26900.2815667159,34578.468984503,Heavy Traffic,1.32899,103.82344,22/2/2018,4:48:00 PM,Heavy Traffic on PIE (towards Tuas) after Stevens Rd Exit,NOVENA,NV,CENTRAL REGION,CR,expressway,75525381,Pan-Island Expressway,PIE,motorway,1,0,,4.808434567489051
31355.8211404548,34679.4880015355,Heavy Traffic,1.32990,103.86347,22/2/2018,2:37:00 PM,Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit,KALLANG,KL,CENTRAL REGION,CR,expressway,479175771,Pan-Island Expressway,PIE,motorway,1,0,90,4.651159258898367
31391.0110213466,34673.7300248825,Heavy Traffic,1.32985,103.86379,22/2/2018,2:32:00 PM,Heavy Traffic on PIE (towards Tuas) between Paya Lebar Rd and CTE(City) Exit.,KALLANG,KL,CENTRAL REGION,CR,expressway,540558348,Pan-Island Expressway,PIE,motorway,1,1,90,5.700774481006769
19721.8916919343,33140.8710422933,Heavy Traffic,1.31599,103.75894,22/2/2018,2:14:00 PM,Heavy Traffic on AYE (towards MCE) before Clementi Ave 6 Exit,CLEMENTI,CL,WEST REGION,WR,expressway,75277108,Ayer Rajah Expressway,AYE,motorway,1,0,90,9.649259746203402
42477.5530821476,37512.3589847634,Heavy Traffic,1.35552,103.96341,22/2/2018,9:02:00 AM,Heavy Traffic on TPE (towards PIE) between Pasir Ris Dr 8 Exit and PIE Exit.,PASIR RIS,PR,EAST REGION,ER,expressway,173767903,Tampines Expressway,TPE,motorway,1,0,90,4.789990160522676
28951.0993191297,30225.1990008989,Heavy Traffic,1.28962,103.84186,22/2/2018,8:47:00 AM,Heavy Traffic in CTE Tunnel (towards SLE) at Merchant Road Exit.,SINGAPORE RIVER,SR,CENTRAL REGION,CR,expressway,167648624,,,motorway_link,1,0,,3.977260034668609
